寫入日期,寫入時間,時制,中正圖書館,達賢圖書館,中正悅讀區_A,中正悅讀區_B,中正悅讀區_C
2024/10/16,2:09:22,AM,0,0,120,96,154
2024/10/16,2:10:20,AM,0,0,120,96,154
2024/10/16,8:00:05,AM,5,1,123,96,154
2024/10/16,9:00:08,AM,61,55,134,94,149
2024/10/16,10:00:06,AM,141,126,130,92,141
2024/10/16,11:00:06,AM,223,192,124,90,138
2024/10/16,12:00:06,PM,319,239,115,90,136
2024/10/16,1:00:06,PM,701,392,105,88,126
2024/10/16,2:00:06,PM,1010,603,85,82,115
2024/10/16,3:00:06,PM,1180,694,76,80,104
2024/10/16,4:00:06,PM,1363,754,87,83,107
2024/10/16,5:00:07,PM,1721,918,74,76,93
2024/10/16,6:00:07,PM,1883,992,86,77,102
2024/10/16,7:00:07,PM,2080,1082,85,81,111
2024/10/16,8:00:07,PM,2238,1157,79,74,108
2024/10/16,9:00:07,PM,2321,1176,68,72,98
2024/10/16,10:00:07,PM,2359,1180,55,64,96
2024/10/16,11:00:07,PM,2364,1180,85,80,119
2024/10/17,12:00:07,AM,2373,1180,106,91,139
2024/10/17,1:00:07,AM,0,0,116,96,154
2024/10/17,2:00:08,AM,1,0,134,96,154
2024/10/17,3:00:08,AM,1,0,137,96,154
2024/10/17,4:00:07,AM,1,0,139,96,154
2024/10/17,5:00:07,AM,3,0,137,96,154
2024/10/17,6:00:07,AM,3,0,136,96,154
2024/10/17,7:00:07,AM,3,0,133,96,154
2024/10/17,8:00:07,AM,4,0,128,96,154
2024/10/17,9:00:07,AM,73,46,135,92,147
2024/10/17,1:00:07,PM,736,408,102,81,124
2024/10/17,2:00:07,PM,995,570,88,82,110
2024/10/17,3:00:07,PM,1158,666,85,84,107
2024/10/17,4:00:07,PM,1361,762,79,82,108
2024/10/17,5:00:07,PM,1738,950,79,71,95
2024/10/17,6:00:07,PM,1944,1055,83,75,96
2024/10/17,7:00:07,PM,2127,1166,92,74,107
2024/10/17,8:00:07,PM,2275,1248,88,79,96
2024/10/17,9:00:07,PM,2342,1278,79,79,95
2024/10/17,10:00:07,PM,2377,1280,60,73,89
2024/10/17,11:00:06,PM,2386,1280,86,82,120
2024/10/18,12:00:06,AM,2388,1280,112,93,143
2024/10/18,1:00:06,AM,0,0,123,96,154
2024/10/18,2:00:06,AM,0,0,133,96,154
2024/10/18,3:00:06,AM,1,0,142,96,154
2024/10/18,4:00:06,AM,2,0,143,96,154
2024/10/18,5:00:06,AM,2,0,143,96,154
2024/10/18,6:00:06,AM,2,0,143,96,154
2024/10/18,7:00:06,AM,2,0,143,96,154
2024/10/18,8:00:06,AM,2,1,137,96,154
2024/10/18,9:00:06,AM,47,55,136,92,147
2024/10/18,10:00:06,AM,111,153,136,91,144
2024/10/18,11:00:06,AM,208,229,125,92,141
2024/10/18,12:00:06,PM,298,288,125,91,136
2024/10/18,1:00:06,PM,537,414,110,85,132
2024/10/18,2:00:06,PM,769,600,109,83,127
2024/10/18,3:00:06,PM,892,687,104,83,124
2024/10/18,4:00:06,PM,1042,742,99,84,120
2024/10/18,5:00:06,PM,1293,854,98,77,110
2024/10/18,6:00:06,PM,1434,939,94,80,113
2024/10/18,7:00:06,PM,1537,1007,89,80,121
2024/10/18,8:00:06,PM,1607,1070,92,80,119
2024/10/18,9:00:06,PM,1649,1084,89,84,121
2024/10/18,10:00:06,PM,1670,1089,97,87,122
2024/10/18,11:00:06,PM,1677,1089,114,94,130
2024/10/19,12:00:06,AM,1682,1089,140,96,153
2024/10/19,1:00:06,AM,0,0,145,96,154
2024/10/19,2:00:06,AM,0,0,145,96,154
2024/10/19,3:00:06,AM,0,0,145,96,154
2024/10/19,4:00:06,AM,0,0,145,96,154
2024/10/19,5:00:06,AM,0,0,145,96,154
2024/10/19,6:00:06,AM,0,0,146,96,154
2024/10/19,7:00:07,AM,0,0,146,96,154
2024/10/19,8:00:06,AM,0,0,146,96,154
2024/10/19,9:00:06,AM,0,61,146,96,154
2024/10/19,10:00:06,AM,0,188,146,96,154
2024/10/19,11:00:07,AM,0,326,146,96,154
2024/10/19,12:00:06,PM,0,452,146,96,154
2024/10/19,1:00:06,PM,0,664,146,96,154
2024/10/19,2:00:06,PM,0,931,146,96,154
2024/10/19,3:00:06,PM,0,1075,146,96,154
2024/10/19,4:00:06,PM,0,1187,146,96,154
2024/10/19,5:00:07,PM,0,1299,146,96,154
2024/10/19,6:00:06,PM,0,1401,146,96,154
2024/10/19,7:00:06,PM,0,1487,146,96,154
2024/10/19,8:00:06,PM,0,1548,146,96,154
2024/10/19,9:00:06,PM,0,1578,146,96,154
2024/10/19,10:00:06,PM,0,1585,146,96,154
2024/10/19,11:00:06,PM,0,1585,146,96,154
2024/10/20,12:00:06,AM,0,1585,146,96,154
2024/10/20,1:00:06,AM,0,0,146,96,154
2024/10/20,2:00:07,AM,0,0,146,96,154
2024/10/20,3:00:06,AM,0,0,146,96,154
2024/10/20,4:00:07,AM,0,0,146,96,154
2024/10/20,5:00:07,AM,0,0,146,96,154
2024/10/20,6:00:06,AM,0,0,146,96,154
2024/10/20,7:00:07,AM,0,0,146,96,154
2024/10/20,8:00:06,AM,0,0,146,96,154
2024/10/20,9:00:06,AM,0,0,146,96,154
2024/10/20,10:00:06,AM,0,0,146,96,154
2024/10/20,11:00:06,AM,0,0,146,96,154
2024/10/20,12:00:06,PM,0,0,146,96,154
2024/10/20,1:00:06,PM,0,0,146,96,154
2024/10/20,2:00:06,PM,0,0,146,96,154
2024/10/20,3:00:06,PM,0,0,146,96,154
2024/10/20,4:00:06,PM,0,0,146,96,154
2024/10/20,5:00:06,PM,0,0,146,96,154
2024/10/20,6:00:06,PM,0,0,146,96,154
2024/10/20,7:00:06,PM,0,0,146,96,154
2024/10/20,8:00:06,PM,0,0,146,96,154
2024/10/20,9:00:06,PM,0,0,146,96,154
2024/10/20,10:00:06,PM,0,0,146,96,154
2024/10/20,11:00:07,PM,0,0,146,96,154
2024/10/21,12:00:07,AM,0,0,146,96,154
2024/10/21,1:00:07,AM,0,0,146,96,154
2024/10/21,2:00:07,AM,0,0,146,96,154
2024/10/21,3:00:07,AM,0,0,146,96,154
2024/10/21,4:00:07,AM,0,0,146,96,154
2024/10/21,5:00:07,AM,0,0,146,96,154
2024/10/21,6:00:08,AM,0,0,146,96,154
2024/10/21,7:00:07,AM,0,0,146,96,154
2024/10/21,8:00:08,AM,0,2,146,96,154
2024/10/21,9:00:07,AM,80,60,141,95,151
2024/10/21,10:00:07,AM,189,172,128,93,144
2024/10/21,11:00:07,AM,337,285,114,88,133
2024/10/21,1:00:07,PM,667,512,123,85,128
2024/10/21,2:00:07,PM,860,689,103,84,116
2024/10/21,3:00:07,PM,989,807,92,82,112
2024/10/21,4:00:07,PM,1131,880,88,85,109
2024/10/21,5:00:07,PM,1564,1037,59,80,93
2024/10/21,6:00:07,PM,1789,1154,72,80,89
2024/10/21,7:00:07,PM,1988,1265,75,79,84
2024/10/21,8:00:08,PM,2169,1354,63,79,79
2024/10/21,9:00:06,PM,2258,1397,53,71,72
2024/10/21,10:00:06,PM,2303,1403,49,59,68
2024/10/21,11:00:07,PM,2318,1403,71,71,101
2024/10/22,12:00:06,AM,2325,1403,94,90,131
2024/10/22,1:00:06,AM,0,0,101,96,154
2024/10/22,2:00:06,AM,0,0,124,96,154
2024/10/22,3:00:06,AM,0,0,134,96,154
2024/10/22,4:00:06,AM,1,0,136,96,154
2024/10/22,5:00:06,AM,2,0,137,96,154
2024/10/22,6:00:06,AM,3,0,140,96,154
2024/10/22,7:00:06,AM,3,0,139,96,154
2024/10/22,8:00:06,AM,4,0,132,96,154
2024/10/22,9:00:06,AM,79,48,132,94,152
2024/10/22,10:00:06,AM,180,129,123,90,146
2024/10/22,11:00:06,AM,298,239,113,85,137
2024/10/22,12:00:06,PM,442,303,109,86,140
2024/10/22,1:00:06,PM,801,447,96,84,132
2024/10/22,2:00:06,PM,1166,699,89,78,110
2024/10/22,3:00:06,PM,1351,836,81,76,108
2024/10/22,4:00:06,PM,1528,933,94,80,111
2024/10/22,5:00:06,PM,1931,1091,60,75,85
2024/10/22,6:00:07,PM,2163,1185,63,73,101
2024/10/22,7:00:06,PM,2392,1277,59,69,95
2024/10/22,8:00:06,PM,2591,1367,57,66,81
2024/10/22,9:00:06,PM,2702,1399,55,60,76
2024/10/22,10:00:06,PM,2761,1404,38,49,64
2024/10/22,11:00:06,PM,2767,1404,81,63,103
2024/10/23,12:00:06,AM,2769,1404,96,80,130
2024/10/23,1:00:06,AM,0,0,110,96,154
2024/10/23,2:00:06,AM,1,0,125,96,154
2024/10/23,3:00:07,AM,3,0,129,96,154
2024/10/23,4:00:06,AM,3,0,134,96,154
2024/10/23,5:00:07,AM,4,0,133,96,154
2024/10/23,6:00:07,AM,5,0,133,96,154
2024/10/23,7:00:06,AM,5,0,136,96,154
2024/10/23,8:00:06,AM,5,0,135,96,153
2024/10/23,9:00:06,AM,61,74,139,95,152
2024/10/23,10:00:06,AM,131,172,131,91,150
2024/10/23,11:00:06,AM,264,254,123,88,142
2024/10/23,12:00:06,PM,355,321,122,90,142
2024/10/23,1:00:06,PM,709,458,96,85,130
2024/10/23,2:00:08,PM,1054,644,90,82,122
2024/10/23,3:00:06,PM,1245,744,66,79,109
2024/10/23,4:00:08,PM,1418,801,79,80,102
2024/10/23,5:00:06,PM,1767,929,66,70,87
2024/10/23,6:00:06,PM,1959,1005,72,81,91
2024/10/23,7:00:06,PM,2141,1127,72,88,98
2024/10/23,8:00:06,PM,2307,1239,70,84,94
2024/10/23,9:00:06,PM,2395,1258,60,76,87
2024/10/23,10:00:06,PM,2428,1261,45,72,72
2024/10/23,11:00:06,PM,2433,1261,80,79,94
2024/10/24,12:00:06,AM,2436,1261,107,93,138
2024/10/24,1:00:06,AM,0,0,112,96,154
2024/10/24,2:00:06,AM,0,0,125,96,154
2024/10/24,3:00:06,AM,0,0,132,96,154
2024/10/24,4:00:08,AM,0,0,138,96,154
2024/10/24,5:00:07,AM,1,0,139,96,154
2024/10/24,6:00:06,AM,1,0,140,96,154
2024/10/24,7:00:07,AM,1,0,141,96,154
2024/10/24,8:00:07,AM,1,1,137,96,154
2024/10/24,9:00:08,AM,64,53,140,95,150
2024/10/24,10:00:07,AM,158,132,131,92,144
2024/10/24,11:00:06,AM,277,182,113,91,141
2024/10/24,12:00:06,PM,370,236,115,92,136
2024/10/24,1:00:06,PM,738,369,93,86,127
2024/10/24,2:00:06,PM,1013,530,83,77,111
2024/10/24,4:00:08,PM,1334,662,91,69,106
2024/10/24,5:00:06,PM,1711,801,66,62,91
2024/10/24,6:00:07,PM,1926,873,78,65,102
2024/10/24,7:00:06,PM,2110,955,80,75,104
2024/10/24,8:00:06,PM,2211,1009,67,78,110
2024/10/24,9:00:06,PM,2282,1028,63,75,107
2024/10/24,10:00:06,PM,2319,1034,53,70,96
2024/10/24,11:00:07,PM,2323,1034,71,78,118
2024/10/25,12:00:07,AM,0,0,82,92,144
2024/10/25,1:00:07,AM,0,0,110,93,153
2024/10/25,2:00:06,AM,0,0,128,96,154
2024/10/25,3:00:07,AM,1,0,133,96,154
2024/10/25,4:00:07,AM,2,0,134,96,154
2024/10/25,5:00:07,AM,3,0,135,96,154
2024/10/25,6:00:06,AM,4,0,135,96,154
2024/10/25,7:00:07,AM,4,0,138,96,154
2024/10/25,8:00:07,AM,4,0,137,96,154
2024/10/25,9:00:07,AM,50,53,131,92,151
2024/10/25,10:00:06,AM,113,166,130,91,147
2024/10/25,11:00:07,AM,210,222,116,89,141
2024/10/25,12:00:07,PM,311,261,121,87,138
2024/10/25,1:00:07,PM,591,372,113,85,128
2024/10/25,2:00:08,PM,806,558,102,86,117
2024/10/25,3:00:06,PM,908,651,95,84,116
2024/10/25,4:00:07,PM,1060,737,99,82,120
2024/10/25,5:00:07,PM,1343,847,90,78,107
2024/10/25,6:00:07,PM,1468,919,98,81,116
2024/10/25,7:00:07,PM,1572,1022,103,84,121
2024/10/25,8:00:07,PM,1637,1081,86,82,124
2024/10/25,9:00:07,PM,1697,1105,84,85,122
2024/10/25,10:00:07,PM,1726,1114,71,83,121
2024/10/25,11:00:07,PM,1729,1114,95,88,137
2024/10/26,12:00:07,AM,0,0,107,94,149
2024/10/26,1:00:07,AM,0,0,119,96,153
2024/10/26,2:00:07,AM,0,0,128,96,154
2024/10/26,3:00:08,AM,0,0,135,96,154
2024/10/26,4:00:07,AM,0,0,139,96,154
2024/10/26,5:00:07,AM,0,0,141,96,154
2024/10/26,6:00:07,AM,0,0,142,96,154
2024/10/26,7:00:07,AM,0,0,143,96,154
2024/10/26,8:00:07,AM,1,0,144,95,154
2024/10/26,9:00:07,AM,19,47,137,94,152
2024/10/26,10:00:07,AM,73,156,123,92,149
2024/10/26,11:00:07,AM,142,252,113,88,142
2024/10/26,12:00:07,PM,260,376,108,88,139
2024/10/26,1:00:07,PM,331,498,95,86,135
2024/10/26,2:00:07,PM,438,749,86,84,119
2024/10/26,3:00:07,PM,536,836,73,79,109
2024/10/26,4:00:07,PM,618,903,68,74,112
2024/10/26,5:00:07,PM,718,940,68,71,108
2024/10/26,6:00:08,PM,780,1012,83,74,109
2024/10/26,7:00:08,PM,839,1070,94,74,116
2024/10/26,8:00:07,PM,907,1124,87,75,117
2024/10/26,9:00:07,PM,924,1159,89,76,117
2024/10/26,10:00:07,PM,936,1165,78,79,125
2024/10/26,11:00:07,PM,940,1165,94,86,139
2024/10/27,12:00:07,AM,0,0,112,93,152
2024/10/27,1:00:07,AM,0,0,121,96,154
2024/10/27,2:00:07,AM,0,0,131,96,154
2024/10/27,3:00:07,AM,0,0,136,96,154
2024/10/27,4:00:07,AM,0,0,138,96,154
2024/10/27,5:00:08,AM,1,0,139,96,154
2024/10/27,6:00:07,AM,1,0,141,96,154
2024/10/27,7:00:06,AM,1,0,142,96,154
2024/10/27,8:00:06,AM,2,0,137,96,154
2024/10/27,9:00:06,AM,32,0,131,96,151
2024/10/27,10:00:06,AM,107,0,120,93,145
2024/10/27,11:00:06,AM,207,0,101,85,136
2024/10/27,12:00:07,PM,282,0,93,85,125
2024/10/27,1:00:06,PM,426,0,82,80,115
2024/10/27,2:00:06,PM,633,0,67,67,98
2024/10/27,3:00:06,PM,787,0,56,61,76
2024/10/27,4:00:06,PM,901,0,45,55,72
2024/10/27,5:00:06,PM,1002,0,44,57,69
2024/10/27,6:00:07,PM,1103,0,53,63,67
2024/10/27,7:00:06,PM,1227,0,55,66,79
2024/10/27,8:00:07,PM,1307,0,59,72,96
2024/10/27,9:00:06,PM,1375,0,60,68,91
2024/10/27,10:00:06,PM,1401,0,57,70,109
2024/10/27,11:00:06,PM,1405,0,79,81,118
2024/10/28,12:00:06,AM,0,0,85,92,138
2024/10/28,1:00:06,AM,0,0,99,96,151
2024/10/28,2:00:06,AM,2,0,123,96,152
2024/10/28,3:00:06,AM,2,0,133,96,152
2024/10/28,4:00:06,AM,2,0,138,96,153
2024/10/28,5:00:06,AM,4,0,140,96,154
2024/10/28,6:00:07,AM,5,0,141,96,154
2024/10/28,7:00:06,AM,5,0,144,96,154
2024/10/28,8:00:06,AM,5,1,142,96,153
2024/10/28,9:00:06,AM,68,54,130,94,152
2024/10/28,10:00:06,AM,170,178,111,93,142
2024/10/28,11:00:06,AM,308,285,91,89,133
2024/10/28,12:00:06,PM,429,380,92,85,127
2024/10/28,1:00:06,PM,626,507,108,83,129
2024/10/28,2:00:06,PM,770,674,97,79,121
2024/10/28,3:00:06,PM,950,767,74,79,105
2024/10/28,4:00:07,PM,1144,856,66,81,101
2024/10/28,8:00:08,PM,2143,1275,35,41,61
2024/10/28,9:00:06,PM,2251,1298,21,36,47
2024/10/28,10:00:06,PM,2327,1308,35,41,53
2024/10/28,11:00:06,PM,2344,1308,75,74,86
2024/10/29,12:00:06,AM,2352,1308,79,87,125
2024/10/29,1:00:06,AM,0,0,91,92,139
2024/10/29,2:00:06,AM,0,0,113,94,147
2024/10/29,3:00:06,AM,1,0,128,96,151
2024/10/29,4:00:06,AM,1,0,131,96,152
2024/10/29,5:00:07,AM,2,0,133,96,154
2024/10/29,6:00:06,AM,5,0,132,96,154
2024/10/29,7:00:06,AM,5,0,131,96,154
2024/10/29,8:00:06,AM,6,1,132,96,154
2024/10/29,9:00:06,AM,71,76,135,93,151
2024/10/29,10:00:06,AM,162,151,128,89,145
2024/10/29,11:00:06,AM,273,217,116,85,134
2024/10/29,12:00:06,PM,433,274,105,85,131
2024/10/29,1:00:06,PM,817,418,86,75,124
2024/10/29,2:00:06,PM,1174,660,83,71,99
2024/10/29,3:00:06,PM,1382,763,69,69,81
2024/10/29,4:00:06,PM,1576,838,66,72,91
2024/10/29,5:00:06,PM,1984,1003,51,58,68
2024/10/29,6:00:06,PM,2184,1124,58,61,75
2024/10/29,7:00:07,PM,2423,1259,52,66,75
2024/10/29,8:00:07,PM,2660,1353,40,63,57
2024/10/29,9:00:06,PM,2756,1387,30,63,41
2024/10/29,10:00:07,PM,2830,1396,24,48,44
2024/10/29,11:00:07,PM,2856,1396,63,69,81
2024/10/30,12:00:06,AM,2867,1396,75,77,114
2024/10/30,1:00:06,AM,0,0,97,89,130
2024/10/30,2:00:06,AM,0,0,110,90,149
2024/10/30,3:00:06,AM,0,0,120,91,151
2024/10/30,4:00:07,AM,0,0,126,92,151
2024/10/30,5:00:07,AM,0,0,127,92,151
2024/10/30,6:00:07,AM,0,0,133,91,151
2024/10/30,7:00:06,AM,0,0,134,91,152
2024/10/30,8:00:06,AM,0,0,133,92,153
2024/10/30,9:00:06,AM,70,41,137,92,151
2024/10/30,10:00:06,AM,148,127,132,92,148
2024/10/30,11:00:07,AM,225,187,123,91,141
2024/10/30,12:00:06,PM,386,231,116,87,141
2024/10/30,1:00:07,PM,794,356,89,81,129
2024/10/30,3:00:07,PM,1280,651,74,74,100
2024/10/30,4:00:07,PM,1489,722,78,71,94
2024/10/30,5:00:07,PM,1794,841,78,71,88
2024/10/30,6:00:07,PM,1946,895,90,79,95
2024/10/30,7:00:06,PM,2126,976,86,83,91
2024/10/30,8:00:08,PM,2286,1062,71,74,84
2024/10/30,9:00:06,PM,2368,1079,81,75,82
2024/10/30,10:00:06,PM,2410,1081,84,79,89
2024/10/30,11:00:07,PM,2418,1081,110,88,127
2024/10/31,12:00:09,AM,0,0,122,96,145
2024/10/31,1:00:07,AM,0,0,145,96,152
2024/10/31,2:00:07,AM,1,0,146,96,154
2024/10/31,3:00:07,AM,1,0,146,96,154
2024/10/31,4:00:07,AM,1,0,146,96,154
2024/10/31,5:00:07,AM,1,0,146,96,154
2024/10/31,6:00:07,AM,1,0,146,96,154
2024/10/31,7:00:07,AM,1,0,146,96,154
2024/10/31,8:00:07,AM,1,0,146,96,154
2024/10/31,9:00:07,AM,1,0,146,96,154
2024/10/31,10:00:07,AM,1,0,146,96,154
2024/10/31,11:00:07,AM,1,0,146,96,154
2024/10/31,12:00:07,PM,1,0,146,96,154
2024/10/31,1:00:07,PM,1,0,146,96,154
2024/10/31,2:00:07,PM,1,0,146,96,154
2024/10/31,3:00:07,PM,1,0,146,96,154
2024/10/31,4:00:07,PM,1,0,146,96,154
2024/10/31,5:00:07,PM,1,0,146,96,154
2024/10/31,6:00:07,PM,1,0,146,96,154
2024/10/31,7:00:07,PM,1,0,146,96,154
2024/10/31,8:00:07,PM,1,0,146,96,154
2024/10/31,9:00:07,PM,1,0,146,96,154
2024/10/31,10:00:08,PM,1,0,146,96,154
2024/10/31,11:00:07,PM,1,0,146,96,154
2024/11/1,12:00:07,AM,1,0,146,96,154
2024/11/1,1:00:06,AM,0,0,146,96,154
2024/11/1,2:00:07,AM,0,0,146,96,154
2024/11/1,3:00:07,AM,0,0,146,96,154
2024/11/1,4:00:07,AM,0,0,146,96,154
2024/11/1,5:00:07,AM,0,0,146,96,154
2024/11/1,6:00:07,AM,0,0,146,96,154
2024/11/1,7:00:07,AM,0,0,146,96,154
2024/11/1,8:00:06,AM,0,2,146,96,154
2024/11/1,9:00:06,AM,58,78,142,94,151
2024/11/1,10:00:08,AM,144,139,133,93,141
2024/11/1,11:00:06,AM,284,203,117,91,128
2024/11/1,12:00:07,PM,450,270,109,94,125
2024/11/1,1:00:07,PM,737,369,96,89,118
2024/11/1,2:00:07,PM,995,559,94,89,106
2024/11/1,3:00:07,PM,1194,685,80,81,101
2024/11/1,4:00:07,PM,1369,769,81,75,91
2024/11/1,5:00:07,PM,1618,880,77,72,83
2024/11/1,6:00:07,PM,1768,951,77,77,89
2024/11/1,7:00:07,PM,1881,1047,86,76,90
2024/11/1,8:00:07,PM,1993,1104,68,72,94
2024/11/1,9:00:07,PM,2038,1131,65,73,87
2024/11/1,10:00:07,PM,2079,1134,65,72,98
2024/11/1,11:00:07,PM,2089,1134,86,85,122
2024/11/2,12:00:07,AM,2092,1134,101,91,144
2024/11/2,2:00:08,AM,0,0,127,95,153
2024/11/2,3:00:08,AM,0,0,132,96,154
2024/11/2,4:00:07,AM,0,0,136,96,154
2024/11/2,5:00:07,AM,1,0,137,96,154
2024/11/2,6:00:08,AM,1,0,139,96,154
2024/11/2,7:00:07,AM,1,0,138,96,154
2024/11/2,8:00:07,AM,1,0,136,96,153
2024/11/2,9:00:07,AM,29,90,133,95,152
2024/11/2,10:00:07,AM,102,228,122,92,147
2024/11/2,11:00:07,AM,187,346,109,88,144
2024/11/2,12:00:07,PM,267,431,105,85,137
2024/11/2,1:00:07,PM,398,574,93,84,121
2024/11/2,2:00:07,PM,563,775,77,79,106
2024/11/2,3:00:07,PM,677,923,72,74,91
2024/11/2,4:00:07,PM,772,1013,61,70,85
2024/11/2,5:00:07,PM,845,1073,66,69,79
2024/11/2,6:00:07,PM,937,1146,67,69,80
2024/11/2,7:00:07,PM,1040,1213,69,73,93
2024/11/2,8:00:07,PM,1146,1259,67,74,80
2024/11/2,9:00:07,PM,1211,1288,67,76,87
2024/11/2,10:00:06,PM,1244,1291,76,78,98
2024/11/2,11:00:06,PM,1264,1291,94,91,117
2024/11/3,12:00:06,AM,1272,1291,103,90,133
2024/11/3,1:00:06,AM,0,0,116,93,146
2024/11/3,2:00:06,AM,0,0,129,96,148
2024/11/3,3:00:06,AM,0,0,134,95,149
2024/11/3,4:00:07,AM,0,0,135,95,149
2024/11/3,5:00:07,AM,0,0,137,95,149
